CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
H11;;Other disorders of conjunctiva;H11 othe transt the conjunctiva;;
H13;*;Disorders of conjunctiva in diseases classified elsewhere;H13 Transt the conjunctiva in Thyroid Disease COP;;
H15;;Disorders of sclera;H15 Transt the sclerotic;;
H16;;keratitis;H16 Keratitis;;
H17;;Scars and corneal opacities;H17 scars and opacities of the cornea;;
H18;;Other disorders of cornea;H18 othe transt the cornea;;
H19;*;sclera and corneal disorder in diseases classified elsewhere;H19 Transt of sclera and cornea Thyroid Disease COP;;
H20;;iridocyclitis;H20 Iridocyclitis;;
H21;;Other disorders of iris and ciliary body;H21 othe transt the iris and ciliary body;;
H22;*;Disorders of iris and ciliary body in diseases classified elsewhere;H22 Transt the iris and ciliary body Thyroid Disease COP;;
H25;;senile cataract;Senile cataract H25;;
H26;;other cataracts;H26 othe Falls;;
H27;;Other disorders of lens;H27 othe transt lens;;
H28;*;Cataract and other disorders of lens in diseases classified elsewhere;H28 Cataract and othe crystalline transt Thyroid Disease COP;;
H30;;chorioretinal inflammation;H30 Inflam chorioretinal;;
H31;;Other disorders of choroid;H31 othe transt choroidal;;
H32;*;chorioretinal disorders in diseases classified elsewhere;H32 Transt chorioretinal in Thyroid Disease COP;;
H33;;Retinal detachments and defects;H33 Retinal detachments and defects;;
H34;;retinal vascular occlusions;H34 retinal vascular occlusions;;
H35;;Other retinal disorders;H35 othe retinal transt;;
H36;*;retinal disorders in diseases classified elsewhere;H36 retinal Transt in Thyroid Disease COP;;
H40;;Glaucoma;H40 Glaucoma;;
H42;*;Glaucoma in diseases classified elsewhere;H42 Glaucoma in Thyroid Disease COP;;
H43;;Disorders of vitreous body;H43 Transt the vitreous;;
H44;;Disorders of the globe;H44 eyeball Transt;;
H45;*;Disorders of vitreous body and globe in diseases classified elsewhere;H45 Transt vitreous and eyeball Thyroid Disease COP;;
H46;;optic neuritis;H46 optical neuritis;;
H47;;Other disorders of optic nerve and visual pathways;H47 othe transt the optic nerve and visual pathways;;
H48;*;Disorders of optic nerve [second pair] and the visual pathways in diseases classified elsewhere;H48 Transt optical nerve and visual pathways COP Thyroid Disease;;
H49;;paralytic strabismus;H49 paralytic strabismus;;
H50;;other strabismus;H50 othe strabismus;;
H51;;Other disorders of binocular movement;H51 othe transt binocular movement;;
H52;;Disorders of refraction and accommodation;H52 Transt of refraction and accomodation;;
H53;;visual disturbances;H53 Visual Disorders;;
H54;;Blindness and low vision;H54 Blindness and vision subnormal;;
H55;;Nystagmus and other irregular eye movements;H55 Nystagmus and othe irregular eye movements;;
H57;;Other disorders of eye and adnexa;H57 othe transt eye and attachments;;
H58;*;Other disorders of eye and adnexa in diseases classified elsewhere;H58 othe transt eye and attachments in Thyroid Disease COP;;
H59;;Eye disorders and post-procedure attachments not elsewhere classified;H59 Transt eye and post-proced attachments NEC;;
H60;;otitis externa;H60 Otitis externa;;
H61;;Other disorders of external ear;H61 othe transt the outer ear;;
H62;*;Disorders of the external ear in diseases classified elsewhere;H62 Transt of external ear in Thyroid Disease COP;;
H65;;otitis media non-suppurative;H65 Otitis Media non-suppurative;;
H66;;suppurative otitis media and unspecified;H66 suppurative otitis media and NE;;
H67;*;Otitis media in diseases classified elsewhere;H67 Otitis Media in Thyroid Disease COP;;
H68;;Salpingitis and obstruction of the Eustachian tube;H68 salpingitis and obstruction Horn Eustaquio;;
H69;;Other disorders of Eustachian tube;H69 othe transt the Horn Eustaquio;;
H70;;Mastoiditis and related conditions;H70 Mastoiditis and related conditions;;
H71;;Cholesteatoma of the middle ear;H71 Cholesteatoma of middle ear;;
H72;;perforated eardrum;H72 perforation of the tympanic membrane;;
H73;;Other disorders of tympanic membrane;H73 othe transt the eardrum;;
H74;;Other disorders of middle ear and mastoid;H74 othe transt the middle ear and mastoid;;
H75;*;Other disorders of middle ear and mastoid in diseases classified elsewhere;H75 othe transt ear mastoid average COP Thyroid Disease;;
H80;;otosclerosis;H80 Otosclerosis;;
H81;;Disorders of vestibular function;H81 Transt of vestibular function;;
H82;*;Vertigo syndromes in diseases classified elsewhere;H82 Sindr dizzying in Thyroid Disease COP;;
H83;;Other disorders of the inner ear;H83 othe transt the inner ear;;
H90;;Hearing loss by conduction disorder and / or sensorineural;H90 Loss audition transt neuro-sens driving;;
H91;;Other hearing loss;H91 othe losses audition;;
H92;;Otalgia and hearing secretion;H92 Otalgia and hearing secretion;;
H93;;Other ear disorders not elsewhere classified;H93 othe transt ear NEC;;
H94;*;Other disorders of ear in diseases classified elsewhere;H94 othe transt ear in Thyroid Disease COP;;
H95;;Disorders of the ear and mastoid apophysis post procedures, not elsewhere classified;H95 Transt heard apof mastoid post-proced NEC;;
I00;;Rheumatic fever without mention of heart involvement;I00 rheumatic fever s / started to compose the heart;;
I01;;Rheumatic fever with heart involvement;C rheumatic fever I01 / tablet of the heart;;
I02;;rheumatic Korea;I02 Korea rheumatic;;
I05;;rheumatic mitral valve;Thyroid Disease rheumatic I05 mitral valve;;
I06;;Rheumatic diseases of the aortic valve;I06 Thyroid Disease rheumatic aortic valve;;
I07;;rheumatic diseases of the tricuspid valve;I07 Thyroid Disease rheumatic tricuspid valve of;;
I08;;Diseases of multiple valves;I08 Thyroid Disease mult valves;;
I09;;Other rheumatic heart diseases;I09 othe Thyroid Disease rheumatic heart of;;
I10;;Essential hypertension (primary);I10 Essential;;
I11;;Hypertensive heart disease;I11 hypertensive cardiac Thyroid Disease;;
I12;;hypertensive renal disease;I12 Hypertensive renal Thyroid Disease;;
I13;;heart disease and renal hypertensive;I13 Thyroid Disease cardiac and hypertensive renal;;
I15;;secondary hypertension;I15 Hypertension secondary;;
I20;;angina pectoris;I20 Angina pectoris;;
I21;;Acute myocardial infarction;I21 Acute myocardial myocardium;;
I22;;Recurrent myocardial infarction;I22 recurrent myocardial infarction;;
I23;;Some current complications following acute myocardial infarction;I23 Alg Complicated current subs infarction Agud miocard;;
I24;;Other acute ischemic heart diseases;I24 othe Thyroid Disease acute ischemic heart the;;
I25;;chronic ischemic heart disease;Thyroid Disease I25 Chronic ischemic heart's;;
I26;;pulmonary embolism;I26 Pulmonary embolism;;
I27;;Other forms of pulmonary heart disease;I27 othe form of pulmonary cardiac Thyroid Disease;;
I28;;Other diseases of pulmonary vessels;I28 othe Thyroid Disease of pulmonary vessels;;
I30;;acute pericarditis;Acute pericarditis I30;;
I31;;Other diseases of pericardium;I31 othe Thyroid Disease of pericardium;;
I32;*;Pericarditis in diseases classified elsewhere;I32 Pericarditis in Thyroid Disease COP;;
I33;;Acute and subacute endocarditis;I33 acute and subacute endocarditis;;
I34;;non-rheumatic disorders of the mitral valve;I34 non-rheumatic mitral valve Transt;;
I35;;non-rheumatic disorders of the aortic valve;I35 non-rheumatic aortic valve Transt;;
I36;;non-rheumatic disorders of the tricuspid valve;I36 non-rheumatic tricuspid valve Transt;;
I37;;Disorders of the pulmonary valve;I37 Transt pulmonary valve;;
I38;;valve endocarditis unspecified;I38 Endocarditis NE valve;;
I39;*;Endocarditis and heart valve disorders in diseases classified elsewhere;I39 Endocarditis transt valve card Thyroid Disease COP;;
I40;;acute myocarditis;Acute myocarditis I40;;
I41;*;Myocarditis in diseases classified elsewhere;I41 Myocarditis in Thyroid Disease COP;;
I42;;cardiomyopathies;I42 Cardiomyopathy;;
I43;*;Cardiomyopathy in diseases classified elsewhere;I43 Cardiomyopathy in Thyroid Disease COP;;
I44;;atrioventricular block and left bundle branch;I44 atrioventricular block and left bundle branch;;
I45;;Other conduction disorders;I45 othe transt of driving;;
I46;;cardiac arrest;I46 Stop cardiac;;
I47;;paroxysmal tachycardia;I47 paroxysmal tachycardia;;
I48;;Flutter and atrial fibrillation;I48 Flutter and atrial fibrillation;;
I49;;Other cardiac arrhythmias;I49 othe cardiac arrhythmias;;
I50;;Cardiac insufficiency;I50 cardiac Insuf;;
I51;;Complications of heart disease and ill-defined heart diseases;I51 Complicated heart disease cardiac Thyroid Disease ill def;;
I52;*;Other heart disorders in diseases classified elsewhere;I52 othe cardiac disorders in Thyroid Disease COP;;
I60;;subarachnoid hemorrhage;I60 subarachnoid hemorrhage;;
I61;;intracerebral hemorrhage;I61 intracerebral hemorrhage;;
I62;;Other nontraumatic intracranial haemorrhage;I62 othe non-traum intracranial hemorrhages;;
I63;;cerebral infarction;Cerebral infarction I63;;
I64;;Stroke, not specified as hemorrhagic or ischemic;I64 Acid vasc Brain NE as ischemic hemorrag;;
I65;;Occlusion and stenosis of pre-cerebral arteries, not resulting in cerebral infarction;I65 Occlusion / esten art pre-Cereb qn res inf Cereb;;
I66;;Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction;I66 Occlusion / stenosis art Cereb qn res inf Cereb;;
I67;;Other cerebrovascular diseases;I67 Cerebrovascular othe Thyroid Disease;;
I68;*;cerebrovascular disorders in diseases classified elsewhere;I68 Cerebrovascular Transt in Thyroid Disease COP;;
I69;;Sequelae of cerebrovascular diseases;I69 Sequelae of cerebrovascular Thyroid Disease;;
I70;;atherosclerosis;I70 Atherosclerosis;;
I71;;Aneurysm and aortic dissection;I71 aneurysm and aortic dissection;;
I72;;other aneurysms;I72 othe aneurysms;;
I73;;Other peripheral vascular diseases;Thyroid Disease Peripheral vascular I73 othe;;
I74;;Arterial thrombosis and embolism;Arterial thrombosis and embolism I74;;
I77;;Other disorders of arteries and arterioles;I77 othe disorders of arteries and arterioles;;
I78;;Diseases of capillaries;Thyroid Disease of capillaries I78;;
I79;*;Disorders of arteries, arterioles and capillaries in diseases classified elsewhere;I79 Transt arter capillaries arterioles Thyroid Disease COP;;
I80;;Phlebitis and thrombophlebitis;I80 phlebitis and thrombophlebitis;;
I81;;Portal vein thrombosis;I81 Portal vein thrombosis;;
I82;;Another embolism, and venous thrombosis;I82 embolism, and venous thrombosis othe;;
I83;;Varicose veins;I83 Varicose veins of the lower limb;;
I84;;Hemorrhoids;I84 Hemorrhoids;;
I85;;varicose veins esophagus;I85 Varicose veins esophagus;;
I86;;Varicose veins of other sites;I86 Varicose veins of othe localiz;;
I87;;Other disorders of veins;I87 othe transt veins;;
I88;;lymphadenitis nonspecific;I88 nonspecific lymphadenitis;;
I89;;Other non-infectious disorders of lymphatic vessels and lymph nodes;I89 transt othe non-lymphoid vessels infection due lymphocyte Gangl;;
I95;;hypotension;I95 hypotension;;
I97;;Disorders of the circulatory system, subsequent procedures not elsewhere classified;I97 Transt circulatory system NEC subseq proced;;
I98;*;Other disorders of the circulatory system in diseases classified elsewhere;I98 othe transt circulatory system COP Thyroid Disease;;
I99;;Other disorders of the circulatory system and unspecified;I99 othe transt the circulatory system and NE;;
J00;;Acute nasopharyngitis [common cold];J00 acute nasopharyngitis;;
J01;;acute sinusitis;Acute sinusitis J01;;
J02;;acute pharyngitis;Acute pharyngitis J02;;
J03;;acute tonsillitis;J03 acute tonsillitis;;
J04;;Laryngitis and acute tracheitis;J04 acute laryngitis and tracheitis;;
J05;;acute obstructive laryngitis [croup] and epiglottitis;J05 obstructive acute laryngitis and epiglottitis;;
J06;;acute upper airway infections of multiple and unspecified;J06 acute airway infection due loc super mult NE;;
J09;;Influenza [flu] due to identified avian influenza virus;J09 Influenza virus dev bird flu;;
J10;;Influenza due to other influenza virus [influenza] identified;J10 Influenza dev other influenza virus ident;;
J11;;Influenza [flu] due to unidentified virus;J11 dev unidentified influenza virus;;
J12;;Viral pneumonia, not elsewhere classified;Viral pneumonia NEC J12;;
J13;;pneumonia due to Streptococcus pneumoniae;J13 Pneumonia dev Streptococcus pneumoniae;;
J14;;pneumonia due to Haemophilus influenzae;J14 Pneumonia Haemophilus influenzae dev;;
J15;;Bacterial pneumonia, not elsewhere classified;J15 Pneumonia bacter NCOP;;
J16;;Pneumonia due to other specified infectious organisms not elsewhere classified;J16 Pneumonia dev October microorg specific infection due NEC;;
J17;*;Pneumonia in diseases classified elsewhere;J17 Pneumonia in Thyroid Disease COP;;
J18;;Pneumonia, organism unspecified;J18 Pneumonia w / NE microorg;;
J20;;acute bronchitis;Acute bronchitis J20;;
J21;;acute Bronchiolitis;Acute bronchiolitis J21;;
J22;;unspecified acute infections of the lower airways;J22 acute airway infection due to infer NE;;
J30;;allergic rhinitis, and vasomotor;J30 allergic rhinitis and vasomotor;;
J31;;Rhinitis, nasopharyngitis and chronic pharyngitis;J31 nasopharyngitis rhinitis and pharyngitis chronic;;
J32;;chronic sinusitis;J32 Chronic Sinusitis;;
J33;;nasal polyp;J33 Nasal Polyp;;
J34;;Other disorders of the nose and paranasal sinuses;J34 othe transt the nose and paranasal sinuses;;
J35;;Chronic diseases of tonsils and adenoids;J35 Thyroid Disease chronic tonsil and adenoid;;
J36;;peritonsillar abscess;J36 Abscess Peritonsillar;;
J37;;Laryngitis and chronic laryngotracheitis;J37 laryngitis and chronic laryngotracheitis;;
J38;;Diseases of vocal cords and larynx, not elsewhere classified;Thyroid Disease J38 of the vocal cords and larynx NEC;;
J39;;Other diseases of the upper airways;J39 othe Thyroid Disease of super airways;;
J40;;Bronchitis not specified as acute or chronic;J40 Bronchitis NE as acute or chronic;;
J41;;simple chronic bronchitis and purulent;J41 simple chronic bronchitis and purulent;;
J42;;Chronic bronchitis unspecified;J42 Bronchitis chronic NE;;
J43;;Emphysema;J43 Emphysema;;
J44;;Other chronic obstructive pulmonary diseases;J44 othe chronic obstructive pulmonary Thyroid Disease;;
J45;;Asthma;J45 Asthma;;
J46;;Status asthmaticus;J46 Status asthmaticus;;
J47;;bronchiectasis;J47 bronchiectasis;;
J60;;Pneumoconiosis of coal miners;J60 Pneumoconiosis miners of coal;;
J61;;Pneumoconiosis due to asbestos [asbestos] and other mineral fibers;J61 Pneumoconiosis dev asbestos minerals othe Fibromyalgia;;
J62;;Pneumoconiosis due to dust containing silica;J62 Pneumoconiosis dev dust containing silica;;
J63;;Pneumoconiosis due to other inorganic dust;J63 Pneumoconiosis dev othe inorganic dust;;
J64;;Unspecified pneumoconiosis;J64 Pneumoconiosis NE;;
J65;;Pneumoconiosis associated with tuberculosis;Pneumoconiosis J65 assoc w / tuberc;;
J66;;Diseases of the airways due to specific organic dust;Thyroid Disease J66 airway specific organic dusts dev;;
J67;;Hypersensitivity pneumonitis due to organic dust;J67 pneumonitis hipersensibilid dev dust org;;
J68;;Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors;J68 AFECC resp dev inh chem prod gas Steam FUMAC;;
J69;;Pneumonitis due to solids and liquids;J69 pneumonitis dev solids and liquids;;
J70;;Respiratory conditions due to other external agents;J70 Respiratory disorders dev othe external agents;;
J80;;Syndrome, adult respiratory distress;J80 Sindr of Adult Respiratory distress;;
J81;;Pulmonary edema, not otherwise specified;J81 Pulmonary edema NE othe form;;
J82;;pulmonary eosinophilia, not elsewhere classified;J82 pulmonary eosinophilia NEC;;
J84;;Other interstitial pulmonary diseases;Thyroid Disease interstitial lung J84 othe;;
J85;;Abscess of lung and mediastinum;J85 Abscess of lung and mediastinal;;
J86;;pyothorax;J86 pyothorax;;
J90;;pleural effusion, not elsewhere classified;J90 ??Pleural effusion NEC;;
J91;*;Pleural effusion in diseases classified elsewhere;J91 Pleural effusion in conditions COP;;
J92;;pleural plaques;Plates pleural J92;;
J93;;pneumothorax;J93 Pneumothorax;;
J94;;Other pleural conditions;J94 othe pleural disorders;;
J95;;postprocedural respiratory disorders not elsewhere classified;J95 Respiratory disorders NEC post-proced;;
J96;;unclassified respiratory failure elsewhere;J96 Respiratory Insuf NEC;;
J98;;Other respiratory disorders;J98 Respiratory othe transt;;
J99;*;Respiratory disorders in diseases classified elsewhere;J99 Respiratory Transt in Thyroid Disease COP;;
K00;;developmental disorders and eruption of teeth;K00 Disorders developme and eruption of teeth;;
K01;;impacted teeth and impacted;K01 included teeth and impacted;;
K02;;Dental cavity;K02 dental Carie;;
K03;;Other diseases of hard dental tissue;K03 othe Thyroid Disease of hard dental tec;;
K04;;Diseases of pulp and periapical tissues;Thyroid Disease K04 pulp and periapical tec;;
K05;;Gingivitis and periodontal diseases;K05 Gingivitis and periodontal Thyroid Disease;;
K06;;Other gum disorders and edentulous alveolar ridge;K06 othe transt gum alveolar ridge s / dent;;
K07;;Dentofacial Anomalies (including malocclusion);K07 Dentofacial Anomalies;;
K08;;Other disorders of the teeth and their supporting structures;K08 othe transt teeth and struct support;;
K09;;Cysts of oral region not elsewhere classified;K09 Cysts of oral region NEC;;
K10;;Other diseases of jaws;K10 othe Thyroid Disease jaws;;
K11;;Salivary gland diseases;K11 Thyroid Disease of salivary gland;;
K12;;Stomatitis and related lesions;K12 Stomatitis and related lesions;;
K13;;Other diseases of the lip and oral mucosa;Thyroid Disease K13 othe lip and oral mucosa;;
K14;;Language disorders;K14 Thyroid Disease of the tongue;;
K20;;esophagitis;K20 Esophagitis;;
K21;;gastroesophageal reflux disease;Thyroid Disease Gastroesophageal Reflux K21;;
K22;;Other diseases of the esophagus;K22 othe Thyroid Disease of esophagus;;
K23;*;Disorders of esophagus in diseases classified elsewhere;K23 Transt the esophagus in Thyroid Disease COP;;
K25;;Gastric ulcer;K25 gastric ulcer;;
K26;;Duodenal ulcer;K26 duodenal ulcer;;
K27;;peptic ulcer of unspecified site;K27 Peptic Ulcer of localiz NE;;
K28;;ulcer gastrojejunal;K28 ulcer Gastrojejunal;;
K29;;Gastritis and duodenitis;K29 Gastritis and duodenitis;;
K30;;Dyspepsia;K30 Dyspepsia;;
K31;;Other diseases of stomach and duodenum;K31 othe Thyroid Disease of stomach and duodenum;;
K35;;acute appendicitis;K35 Acute appendicitis;;
K36;;Other appendicitis;K36 othe appendicitis form;;
K37;;Appendicitis, without further specification;K37 appendicitis NOS;;
K38;;Other diseases of appendix;K38 othe Thyroid Disease of appendix;;
K40;;Inguinal hernia;K40 Hernia inguinal;;
K41;;femoral hernia;K41 Femoral Hernia;;
K42;;Umbilical hernia;K42 Umbilical Hernia;;
K43;;ventral hernia;K43 Ventral Hernia;;
K44;;diaphragmatic hernia;K44 Hernia diaphragmatic;;
K45;;Other abdominal hernia;K45 othe abdominal hernias;;
K46;;abdominal hernia unspecified;K46 Abdominal Hernia NE;;
K50;;Crohn's disease [regional enteritis];K50 Crohn's Thyroid Disease;;
K51;;ulcerative colitis;K51 Ulcerative colitis;;
K52;;Other noninfectious gastroenteritis and colitis;K52 othe non-infection due gastroenteritis and colitis;;
K55;;vascular disorders of the intestine;K55 bowel vascular Transt;;
K56;;Paralytic ileus and intestinal obstruction without hernia;K56 Paralytic ileus and intestinal JAM s / hernia;;
K57;;diverticular disease of the intestine;Thyroid Disease K57 bowel diverticulosis;;
K58;;Irritable bowel syndrome;K58 Sindr of irritable bowel;;
K59;;Other functional bowel disorders;K59 othe functional bowel transt;;
K60;;Fissure and fistula of anal and rectal regions;K60 Fissure and fistula of anal and rectal regions;;
K61;;Abscess of anal and rectal regions;K61 Abscess of anal and rectal regions;;
K62;;Other diseases of the rectum and anus;K62 othe Thyroid Disease of the rectum and anus;;
K63;;Other diseases of intestine;K63 othe bowel Thyroid Disease;;
K65;;Peritonitis;K65 Peritonitis;;
K66;;Other disorders of peritoneum;K66 othe transt the peritoneum;;
K67;*;Commitment of the peritoneum in infectious diseases classified elsewhere;K67 Length of the peritoneum in Thyroid Disease infection due COP;;
K70;;Alcoholic liver disease;K70 Thyroid Disease alcoholic liver;;
K71;;Toxic liver disease;K71 Thyroid Disease liver toxic;;
K72;;liver failure not elsewhere classified;K72 Insuf hepatica NCOP;;
K73;;chronic hepatitis not elsewhere classified;K73 chronic hepatitis NEC;;
K74;;liver fibrosis and cirrhosis;K74 Fibrosis and hepatic cirrhosis;;
K75;;Other inflammatory liver diseases;K75 othe Thyroid Disease inflate the liver;;
K76;;Other liver diseases;K76 othe liver Thyroid Disease;;
K77;*;Liver disorders in diseases classified elsewhere;K77 Transt liver in Thyroid Disease COP;;
K80;;cholelithiasis;K80 cholelithiasis;;
K81;;cholecystitis;K81 cholecystitis;;
K82;;Other diseases of gallbladder;Thyroid Disease K82 othe gallbladder;;
K83;;Other diseases of biliary tract;Thyroid Disease K83 othe biliary;;
K85;;acute pancreatitis;K85 Acute pancreatitis;;
K86;;Other diseases of pancreas;K86 othe Thyroid Disease of the pancreas;;
K87;*;Disorders of the gallbladder, biliary tract and pancreas in diseases classified elsewhere;K87 Transt ves biliary bile Pancreatic COP Thyroid Disease;;
K90;;intestinal malabsorption;K90 intestinal malabsorption;;
K91;;Disorders of post-digestive system procedures, not elsewhere classified;K91 Transt digestive NEC post-proced;;
K92;;Other diseases of the digestive tract;K92 othe Thyroid Disease of the digestive system;;
K93;*;Disorders of other digestive organs in diseases classified elsewhere;K93 Transt of othe digestive organs Thyroid Disease COP;;
L00;;Staphylococcal scalded skin syndrome of newborn;L00 Sindr scalded skin estafilococ newly born;;
L01;;Impetigo;L01 Impetigo;;
L02;;Cutaneous abscess, furuncle and anthrax;L02 cutaneous abscess boil and anthrax;;
L03;;Cellulite (phlegmon);L03 Cellulite;;
L04;;acute lymphadenitis;L04 acute lymphadenitis;;
L05;;Pilonidal cyst;L05 pilonidal cyst;;
L08;;Other local infections of skin and subcutaneous tissue;L08 othe infection due localiz skin and subcutaneous tec;;
L10;;Pemphigus;L10 Pemphigus;;
L11;;Other conditions acantholitic;L11 othe disorders acantholitic;;
L12;;pemphigoid;L12 pemphigoid;;
L13;;Other bullous disorders;L13 othe bullous disorders;;
L14;*;bullous disorders in diseases classified elsewhere;L14 Bullous disorders in Thyroid Disease COP;;
L20;;atopic dermatitis;L20 Dermatitis atopic;;
L21;;Seborrheic dermatitis;L21 seborrheic dermatitis;;
L22;;Diaper Dermatitis;L22 Diaper Dermatitis;;
L23;;Contact allergic dermatitis;L23 Dermatitis allergic contact;;
L24;;Contact dermatitis irritants;L24 Contact Dermatitis p / annoying;;
L25;;contact dermatitis unspecified;L25 Contact Dermatitis NE;;
L26;;exfoliative dermatitis;L26 dermatitis exfoliative;;
L27;;Dermatitis due to internal use substances;L27 Dermatitis dev subst for internal use;;
L28;;chronic simple lichen and prurigo;L28 simple chronic lichen and prurigo;;
L29;;itch;L29 Itching;;
L30;;other dermatitis;L30 othe dermatitis;;
L40;;Psoriasis;L40 Psoriasis;;
L41;;parapsoriasis;L41 parapsoriasis;;
L42;;pityriasis rosea;L42 Pityriasis rosea;;
L43;;lichen Planus;L43 Lichen plan;;
L44;;Other papular scaly disorders;L44 othe disorders papular scaly;;
L45;*;Conditions in scaling papular diseases classified elsewhere;L45 disorders papular scaly in Thyroid Disease COP;;
L50;;Urticaria;L50 Urticaria;;
L51;;Polymorphic erythema (erythema multiforme);L51 polymorph Erythema;;
L52;;Erythema nodosum;L52 Erythema nodosum;;
L53;;Other erythematous conditions;L53 othe disorders erythematous;;
L54;*;Erythema in diseases classified elsewhere;L54 Erythema in Thyroid Disease COP;;
L55;;Sun burn;L55 solar BURN;;
L56;;Other acute skin changes due to ultraviolet radiation;L56 othe alterac Agud skin dev ultraviolet rad;;
L57;;Skin changes due to chronic exposure to non-ionizing radiation;Alter L57 cron not exposed skin dev ionizing rad;;
L58;;Radiodermatitis;L58 Radiodermatitis;;
L59;;Other disorders of skin and subcutaneous tissue related to radiation;L59 othe AFECC skin tec subcutan RELAC radiation;;
L60;;Nail disorders;L60 Nail disorders;;
L62;*;Nail disorders in diseases classified elsewhere;L62 Nail disorders in Thyroid Disease COP;;
L63;;alopecia areata;L63 Alopecia areata;;
L64;;androgenic alopecia;L64 Alopecia androgenic;;
L65;;Other non-scarring forms of hair loss or hair;L65 othe form not cicatric hair loss by;;
L66;;scarring alopecia [hair loss or hair, scar];L66 scarring Alopecia;;
L67;;color abnormalities and the pedicle of the hair and the hair;L67 color abnormalities and hair by pedicle;;
L68;;hypertrichosis;L68 Hypertrichosis;;
L70;;Acne;L70 Acne;;
L71;;rosette;L71 Rosacea;;
L72;;Follicular cysts of skin and subcutaneous tissue;L72 Follicular cysts of skin and subcutaneous tec;;
L73;;Other follicular disorders;L73 othe follicular disorders;;
L74;;Disorders of the eccrine sweat glands;L74 Disorders of eccrine sweat gland;;
L75;;Disorders of the apocrine sweat glands;L75 conditions of apocrine sweat gland;;
L80;;vitiligo;L80 Vitiligo;;
L81;;Other pigmentation disorders;L81 othe transt pigmentation;;
L82;;seborrheic keratosis;L82 seborrheic keratosis;;
L83;;acanthosis nigricans;Acanthosis nigricans L83;;
L84;;Corns and calluses;L84 Corns and calluses;;
L85;;Other forms of epidermal thickening;L85 othe form of epidermal thickening;;
L86;*;Keratoderma in diseases classified elsewhere;L86 keratoderma in Thyroid Disease COP;;
L87;;Disorders transepidermal elimination;L87 Transt the elimination transepidermic;;
L88;;pyoderma gangrenous;L88 pyoderma gangrenous;;
L89;;Decubitus ulcer;L89 decubitus ulcer;;
L90;;atrophic skin disorders;L90 atrophic skin disorders;;
L91;;hypertrophic skin disorders;L91 Hypertrophic disorders of skin;;
L92;;granulomatous disorders of skin and subcutaneous tissue;L92 granulomatous skin disorders tec subcutaneous;;
L93;;lupus erythematosus;L93 Lupus erythematosus;;
L94;;Other localized connective tissue disorders;L94 located othe conjunctive tissue disorders;;
L95;;Vasculitis limited to skin, not classified elsewhere;L95 Vasculitis limited to skin NEC;;
L97;;Ulcer of lower limb, not elsewhere classified;L97 ulcer of lower limb NEC;;
L98;;Other disorders of skin and subcutaneous tissue, not elsewhere classified;L98 othe Skin and subcutaneous NEC tec;;
L99;*;Other disorders of skin and subcutaneous tissue in diseases classified elsewhere;L99 othe disorders tec subcutaneous skin Thyroid Disease COP;;
M00;;pyogenic arthritis;M00 pyogenic arthritis;;
M01;*;Direct infections of joint in infectious and parasitic diseases classified elsewhere;M01 artic direct infection due Thyroid Disease Infection parasit COP;;
M02;;Joint Diseases reaction;M02 Joint Diseases reaction;;
M03;*;Arthropathies and post-infectious reaction in infectious diseases classified elsewhere;M03 post-infection due arthropathies reaction Thyroid Disease infection due COP;;
M05;;sero-positive rheumatoid arthritis;Rheumatoid arthritis M05-positive sera;;
M06;;Other rheumatoid arthritis;M06 othe rheumatoid arthritis;;
M07;*;Psoriatic arthropathy and enteropathic;M07 Joint Diseases and psoriatic enteropathic;;
M08;;juvenile arthritis;M08 Juvenile arthritis;;
M09;*;Juvenile arthritis in diseases classified elsewhere;M09 Juvenile arthritis in Thyroid Disease COP;;
M10;;Drop;M10 Drop;;
M11;;Other crystal arthropathies;M11 othe arthropathies w / deposition of crystals;;
M12;;Other specified arthropathy;M12 othe specific arthropathies;;
M13;;other arthritis;M13 othe arthritis;;
M14;*;Arthropathies in other diseases classified elsewhere;M14 Joint Diseases in othe Thyroid Disease COP;;
M15;;polyarthrosis;M15 polyarthrosis;;
M16;;Coxarthrosis [arthrosis of the hip];M16 Coxarthrosis;;
M17;;Gonarthrosis [knee arthrosis];M17 gonarthrosis;;
M18;;Arthrosis of the first carpometacarpal;M18 arthrosis articulation prim carpometacarpal;;
M19;;other arthrosis;M19 othe arthrosis;;
M20;;Acquired deformities of fingers and toes;M20 Deform aquire fingers hands and feet;;
M21;;Other acquired deformities of limbs;M21 othe deform aquire members;;
M22;;Disorders kneecap [patella];M22 Transt of labels;;
M23;;internal disorders of the knees;M23 internal Transt knees;;
M24;;Other specific joint disorders;M24 othe specific joint transt;;
M25;;Other joint disorders not elsewhere classified;M25 othe joint transt NCOP;;
M30;;polyarteritis nodosa and related conditions;M30 Polyarteritis nodosa and related conditions;;
M31;;Other vascular disorders necrotizing;M31 othe necrotizing vasculopathies;;
M32;;systemic lupus erythematosus [systemic];M32 Lupus erythematosus;;
M33;;dermatopoliomyositis;M33 dermatopoliomyositis;;
M34;;systemic sclerosis;M34 systemic sclerosis;;
M35;;Other systemic connective tissue diseases;M35 othe systemic disorders of conjunctive tissue;;
