SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
L599;;;N;Afecções da pele e do tecido subcutâneo relacionadas com a radiação, não especificadas;L59.9 Afeccoes pele tec subcutaneo relac rad NE
L600;;;N;Unha encravada;L60.0 Unha encravada
L601;;;N;Onicólise;L60.1 Onicolise
L602;;;N;Onicogrifose;L60.2 Onicogrifose
L603;;;N;Distrofia ungueal;L60.3 Distrofia ungueal
L604;;;N;Linhas de Beau;L60.4 Linhas de Beau
L605;;;N;Síndrome das unhas amareladas;L60.5 Sindr das unhas amareladas
L608;;;N;Outras afecções das unhas;L60.8 Outr afeccoes das unhas
L609;;;N;Afecções das unhas, não especificadas;L60.9 Afeccoes das unhas NE
L620;*;;;Paquidermoperiostose com unhas hipocráticas (em vidro de relógio);L62.0 Paquidermoperiostose c/unhas hipocraticas
L628;*;;;Afecções das unhas em outras doenças classificadas em outra parte;L62.8 Afeccoes das unhas em outr doenc COP
L630;;;N;Alopécia total (capitis);L63.0 Alopecia total
L631;;;N;Alopécia universal;L63.1 Alopecia universal
L632;;;N;Ofíase;L63.2 Ofiase
L638;;;N;Outras formas de alopécia areata;L63.8 Outr form de alopecia areata
L639;;;N;Alopécia areata, não especificada;L63.9 Alopecia areata NE
L640;;;N;Alopécia androgênica induzida por droga;L64.0 Alopecia androgenica induz p/droga
L648;;;N;Outras alopécias androgênicas;L64.8 Outr alopecias androgenicas
L649;;;N;Alopécia androgênica, não especificada;L64.9 Alopecia androgenica NE
L650;;;N;Eflúvio telógeno;L65.0 Efluvio telogeno
L651;;;N;Eflúvio anágeno;L65.1 Efluvio anageno
L652;;;N;Alopécia mucinosa;L65.2 Alopecia mucinosa
L658;;;N;Outras formas, especificadas, não cicatriciais, de perda de cabelos ou pêlos;L65.8 Outr form espec n cicatric perda cabelo pelo
L659;;;N;Perda de cabelos ou pêlos não cicatriciais, não especificada;L65.9 Perda de cabelos ou p/nao cicatriciais NE
L660;;;N;Pseudopelada;L66.0 Pseudopelada
L661;;;N;Líquen planopilar;L66.1 Liquen planopilar
L662;;;N;Foliculite descalvante;L66.2 Foliculite descalvante
L663;;;N;Perifoliculite abscedante da cabeça;L66.3 Perifoliculite abscedante da cabeca
L664;;;N;Foliculite uleritematosa reticulada;L66.4 Foliculite uleritematosa reticulada
L668;;;N;Outras formas de alopécia cicatricial;L66.8 Outr form de alopecia cicatricial
L669;;;N;Alopécia cicatricial, não especificada;L66.9 Alopecia cicatricial NE
L670;;;N;Tricorrexe nodosa;L67.0 Tricorrexe nodosa
L671;;;N;Variações da cor dos cabelos ou pêlos;L67.1 Variacoes da cor dos cabelos ou pelos
L678;;;N;Outras anormalidades da cor e do pedículo dos cabelos ou pêlos;L67.8 Outr anorm cor pediculo dos cabelos ou pelos
L679;;;N;Anormalidades da cor e do pedículo dos cabelos e dos pêlos, não especificadas;L67.9 Anorma cor pediculo dos cabelos e pelos NE
L680;;;N;Hirsutismo;L68.0 Hirsutismo
L681;;;N;Hipertricose lanuginosa adquirida;L68.1 Hipertricose lanuginosa adquir
L682;;;N;Hipertricose localizada;L68.2 Hipertricose localizada
L683;;;N;Politríquia;L68.3 Politriquia
L688;;;N;Outras formas de hipertricose;L68.8 Outr form de hipertricose
L689;;;N;Hipertricose, não especificada;L68.9 Hipertricose NE
L700;;;N;Acne vulgar;L70.0 Acne vulgar
L701;;;N;Acne conglobata;L70.1 Acne conglobata
L702;;;N;Acne varioliforme;L70.2 Acne varioliforme
L703;;;N;Acne tropical;L70.3 Acne tropical
L704;;;N;Acne infantil;L70.4 Acne infantil
L705;;F;N;Acne escoriada das mulheres jovens;L70.5 Acne escoriada das mulheres jovens
L708;;;N;Outras formas de acne;L70.8 Outr form de acne
L709;;;N;Acne, não especificada;L70.9 Acne NE
L710;;;;Dermatite perioral;L71.0 Dermatite perioral
L711;;;;Rinofima;L71.1 Rinofima
L718;;;;Outras formas de rosácea;L71.8 Outr form de rosacea
L719;;;;Rosácea, não especificada;L71.9 Rosacea NE
L720;;;N;Cisto epidérmico;L72.0 Cisto epidermico
L721;;;N;Cisto triquilemal;L72.1 Cisto triquilemal
L722;;;N;Esteatocistoma múltiplo;L72.2 Esteatocistoma mult
L728;;;N;Outras formas de cistos foliculares da pele e do tecido subcutâneo;L72.8 Outr form cistos foliculares pele tec subcut
L729;;;N;Cisto folicular, não especificado da pele e do tecido subcutâneo;L72.9 Cisto folicular NE da pele e tec subcutaneo
L730;;;N;Acne quelóide;L73.0 Acne queloide
L731;;;N;Pseudofoliculite da barba;L73.1 Pseudofoliculite da barba
L732;;;N;Hidradenite supurativa;L73.2 Hidradenite supurativa
L738;;;N;Outras afecções foliculares especificadas;L73.8 Outr afeccoes foliculares espec
L739;;;N;Afecções foliculares, não especificadas;L73.9 Afeccoes foliculares NE
L740;;;N;Miliária rubra;L74.0 Miliaria rubra
L741;;;N;Miliária cristalina;L74.1 Miliaria cristalina
L742;;;N;Miliária profunda;L74.2 Miliaria profunda
L743;;;N;Miliária, não especificada;L74.3 Miliaria NE
L744;;;N;Anidrose;L74.4 Anidrose
L748;;;N;Outras afecções das glândulas sudoríparas écrinas;L74.8 Outr afeccoes das gland sudoriparas ecrinas
L749;;;N;Afecções das glândulas sudoríparas écrinas, não especificadas;L74.9 Afeccoes das gland sudoriparas ecrinas NE
L750;;;N;Bromidrose;L75.0 Bromidrose
L751;;;N;Cromidrose;L75.1 Cromidrose
L752;;;N;Miliária apócrina;L75.2 Miliaria apocrina
L758;;;N;Outras afecções das glândulas sudoríparas apócrinas;L75.8 Outr afeccoes gland sudoriparas apocrinas
L759;;;N;Afecções de glândulas sudoríparas apócrinas, não especificadas;L75.9 Afeccoes de gland sudoriparas apocrinas NE
L80;;;N;Vitiligo;L80   Vitiligo
L810;;;N;Hiperpigmentação pós-inflamatória;L81.0 Hiperpigmentacao pos-inflam
L811;;;N;Cloasma;L81.1 Cloasma
L812;;;N;Sardas;L81.2 Sardas
L813;;;N;Manchas café-com-leite;L81.3 Manchas cafe-com-leite
L814;;;N;Outras formas de hiperpigmentação pela melanina;L81.4 Outr form de hiperpigmentacao p/melanina
L815;;;N;Leucodermia não classificada em outra parte;L81.5 Leucodermia NCOP
L816;;;N;Outros transtornos ligados à diminuição da formação de melanina;L81.6 Outr transt lig diminuicao formacao melanina
L817;;;N;Dermatose purpúrica pigmentada;L81.7 Dermatose purpurica pigmentada
L818;;;N;Outros transtornos especificados da pigmentação;L81.8 Outr transt espec da pigmentacao
L819;;;N;Transtorno da pigmentação, não especificado;L81.9 Transt da pigmentacao NE
L82;;;;Ceratose seborréica;L82   Ceratose seborreica
L83;;;N;Acantose nigricans;L83   Acantose nigricans
L84;;;N;Calos e calosidades;L84   Calos e calosidades
L850;;;N;Ictiose adquirida;L85.0 Ictiose adquir
L851;;;N;Ceratose adquirida [ceratodermia] palmar e plantar;L85.1 Ceratose adquir palmar e plantar
L852;;;N;Ceratose punctata (palmar e plantar);L85.2 Ceratose punctata
L853;;;N;Xerose cutânea;L85.3 Xerose cutanea
L858;;;N;Outras formas de espessamento epidérmico;L85.8 Outr form de espessamento epidermico
L859;;;N;Espessamento epidérmico, não especificado;L85.9 Espessamento epidermico NE
L86;*;;;Ceratodermia em doenças classificadas em outra parte;L86   Ceratodermia em doenc COP
L870;;;N;Ceratose folicular e parafolicular penetrante na pele [Síndrome de Kyrle];L87.0 Ceratose folicular parafolicular penetr pele
L871;;;N;Colagenose perfurante reativa;L87.1 Colagenose perfurante reativa
L872;;;N;Elastose perfurante serpiginosa;L87.2 Elastose perfurante serpiginosa
L878;;;N;Outros transtornos da eliminação transepidérmica;L87.8 Outr transt da eliminacao transepidermica
L879;;;N;Transtorno da eliminação transepidérmica, não especificado;L87.9 Transt da eliminacao transepidermica NE
L88;;;;Piodermite gangrenosa;L88   Piodermite gangrenosa
L89;;;;Úlcera de decúbito;L89   Ulcera de decubito
L900;;;N;Líquen escleroso e atrófico;L90.0 Liquen escleroso e atrofico
L901;;;N;Anetodermia de Schweninger-Buzzi;L90.1 Anetodermia de Schweninger-Buzzi
L902;;;N;Anetodermia de Jadassohn-Pellizzari;L90.2 Anetodermia de Jadassohn-Pellizzari
L903;;;N;Atrofodermia de Pasini e Pierini;L90.3 Atrofodermia de Pasini e Pierini
L904;;;N;Acrodermatite crônica atrófica;L90.4 Acrodermatite cronica atrofica
L905;;;N;Cicatrizes e fibrose cutânea;L90.5 Cicatrizes e fibrose cutanea
L906;;;N;Estrias atróficas;L90.6 Estrias atroficas
L908;;;N;Outras afecções atróficas da pele;L90.8 Outr afeccoes atroficas da pele
L909;;;N;Afecções atróficas da pele, não especificadas;L90.9 Afeccoes atroficas da pele NE
L910;;;N;Cicatriz quelóide;L91.0 Cicatriz queloide
L918;;;N;Outras afecções hipertróficas da pele;L91.8 Outr afeccoes hipertroficas da pele
L919;;;N;Afecções hipertróficas da pele, não especificadas;L91.9 Afeccoes hipertroficas da pele NE
L920;;;N;Granuloma anular;L92.0 Granuloma anular
L921;;;N;Necrobiose lipoídica não classificada em outra parte;L92.1 Necrobiose lipoidica NCOP
L922;;;N;Granuloma facial [granuloma eosinófilo da pele];L92.2 Granuloma facial
L923;;;N;Granuloma de corpo estranho da pele e do tecido subcutâneo;L92.3 Granuloma corpo estranho pele tec subcutaneo
L928;;;N;Outras afecções granulomatosas da pele e do tecido subcutâneo;L92.8 Outr afec granulomatosas pele tec subcutaneo
L929;;;N;Afecções granulomatosas da pele e do tecido subcutâneo, não especificados;L92.9 Afecc granulomatosas pele tec subcutaneo NE
L930;;;;Lúpus eritematoso discóide;L93.0 Lupus eritematoso discoide
L931;;;;Lúpus eritematoso cutâneo subagudo;L93.1 Lupus eritematoso cutaneo subagudo
L932;;;;Outras formas de lúpus eritematoso localizado;L93.2 Outr form de lupus eritematoso localizado
L940;;;N;Esclerodermia localizada [morféia];L94.0 Esclerodermia localizada
L941;;;N;Esclerodermia linear;L94.1 Esclerodermia linear
L942;;;N;Calcinose cutânea;L94.2 Calcinose cutanea
L943;;;N;Esclerodactilia;L94.3 Esclerodactilia
L944;;;N;Pápulas de Gottron;L94.4 Papulas de Gottron
L945;;;N;Poiquilodermia vascular atrófica;L94.5 Poiquilodermia vascular atrofica
L946;;;N;Ainhum;L94.6 Ainhum
L948;;;N;Outras afecções localizadas do tecido conjuntivo, especificadas;L94.8 Outr afeccoes localiz tec conjuntivo espec
L949;;;N;Afecções localizadas do tecido conjuntivo, não especificadas;L94.9 Afeccoes localizadas do tec conjuntivo NE
L950;;;;Vasculite livedóide;L95.0 Vasculite livedoide
L951;;;;Eritema elevado diutino (duradouro);L95.1 Eritema elevado diutino
L958;;;;Outras vasculites limitadas a pele;L95.8 Outr vasculites limitadas a pele
L959;;;;Vasculites limitadas a pele, não especificadas;L95.9 Vasculites limitadas a pele NE
L97;;;;Úlcera dos membros inferiores não classificada em outra parte;L97   Ulcera dos membros infer NCOP
L980;;;N;Granuloma piogênico;L98.0 Granuloma piogenico
L981;;;N;Dermatite factícia;L98.1 Dermatite facticia
L982;;;N;Dermatose neutrofílica febril [Sweet];L98.2 Dermatose neutrofilica febril
L983;;;N;Celulite eosinofílica [Wells];L98.3 Celulite eosinofilica
L984;;;;Úlcera crônica da pele, não classificada em outra parte;L98.4 Ulcera cronica da pele NCOP
L985;;;N;Mucinose da pele;L98.5 Mucinose da pele
L986;;;N;Outras afecções infiltrativas da pele e do tecido subcutâneo;L98.6 Outr afecc infiltrativas pele tec subcutaneo
L988;;;N;Outras afecções especificadas da pele e do tecido subcutâneo;L98.8 Outr afeccoes espec pele e tec subcutaneo
L989;;;N;Afecções da pele e do tecido subcutâneo, não especificados;L98.9 Afeccoes da pele e do tec subcutaneo NE
L990;*;;;Amiloidose cutânea;L99.0 Amiloidose cutanea
L998;*;;;Outras afecções especificadas da pele e do tecido subcutâneo em doenças classificadas em outra parte;L99.8 Outr afecc espec pele tec subcut doenc COP
M000;;;;Artrite e pioliartrite estafilocócicas;M00.0 Artrite e pioliartrite estafilococicas
M001;;;;Artrite e poliartrite pneumocócicas;M00.1 Artrite e poliartrite pneumococicas
M002;;;;Outras artrites e poliartrites estreptocócicas;M00.2 Outr artrites e poliartrites estreptococicas
M008;;;;Artrite e poliartrite devidas a outro agente bacteriano especificado;M00.8 Artrite poliartr dev outr agent bacter espec
M009;;;;Artrite piogênica, não especificada;M00.9 Artrite piogenica NE
M010;*;;;Artrite meningocócica;M01.0 Artrite meningococica
M011;*;;;Artrite tuberculosa;M01.1 Artrite tuberc
M012;*;;;Artrite na doença de Lyme;M01.2 Artrite na doenc de Lyme
M013;*;;;Artrite em outras doenças bacterianas classificadas em outra parte;M01.3 Artrite em outr doenc bacter COP
M014;*;;;Artrite na rubéola;M01.4 Artrite na rubeola
M015;*;;;Artrite em outras doenças virais classificadas em outra parte;M01.5 Artrite em outr doenc virais COP
M016;*;;;Artrite em micoses;M01.6 Artrite em micoses
M018;*;;;Artrite em outras doenças infecciosas e parasitárias classificadas em outra parte;M01.8 Artrite em outr doenc infecc e parasit COP
M020;;;;Artropatia pós-derivação intestinal;M02.0 Artropatia pos-derivacao intestinal
M021;;;;Artropatia pós-desintérica;M02.1 Artropatia pos-desinterica
M022;;;;Artropatia pós-imunização;M02.2 Artropatia pos-imunizacao
M023;;;;Doença de Reiter;M02.3 Doenc de Reiter
M028;;;;Outras artropatias reacionais;M02.8 Outr artropatias reacionais
M029;;;;Artropatia reacional não especificada;M02.9 Artropatia reacional NE
M030;*;;;Artrite pós-meningocócica;M03.0 Artrite pos-meningococica
M031;*;;;Artropatia pós-infecciosa na sífilis;M03.1 Artropatia pos-infecc na sifilis
M032;*;;;Outras artropatias pós-infecciosas em doenças classificadas em outra parte;M03.2 Outr artropatias pos-infecc em doenc COP
M036;*;;;Artropatia reacional em outras doenças classificadas em outra parte;M03.6 Artropatia reacional em outr doenc COP
M050;;;;Síndrome de Felty;M05.0 Sindr de Felty
M051;+;;;Doença reumatóide do pulmão;M05.1 Doenc reumatoide do pulmao
M052;;;;Vasculite reumatóide;M05.2 Vasculite reumatoide
M053;;;;Artrite reumatóide com comprometimento de outros órgãos e sistemas;M05.3 Artrite reumatoide c/compr outr org e sist
M058;;;;Outras artrites reumatóides soro-positivas;M05.8 Outr artrites reumatoides soro-positivas
M059;;;;Artrite reumatóide soro-positiva não especificada;M05.9 Artrite reumatoide soro-positiva NE
M060;;;;Artrite reumatóide soro-negativa;M06.0 Artrite reumatoide soro-negativa
M061;;;;Doença de Still do adulto;M06.1 Doenc de Still do adulto
M062;;;;Bursite reumatóide;M06.2 Bursite reumatoide
M063;;;;Nódulo reumatóide;M06.3 Nodulo reumatoide
M064;;;;Poliartropatia inflamatória;M06.4 Poliartropatia inflam
M068;;;;Outras artrites reumatóides especificadas;M06.8 Outr artrites reumatoides espec
M069;;;;Artrite reumatóide não especificada;M06.9 Artrite reumatoide NE
M070;*;;;Artropatia psoriásica interfalangiana distal;M07.0 Artropatia psoriasica interfalangiana distal
M071;*;;;Artrite mutilante;M07.1 Artrite mutilante
M072;*;;;Espondilite psoriásica;M07.2 Espondilite psoriasica
M073;*;;;Outras artropatias psoriásicas;M07.3 Outr artropatias psoriasicas
M074;*;;;Artropatia na doença de Crohn [enterite regional];M07.4 Artropatia na doenc de Crohn
M075;*;;;Artropatia na colite ulcerativa;M07.5 Artropatia na colite ulcerativa
M076;*;;;Outras artropatias enteropáticas;M07.6 Outr artropatias enteropaticas
M080;;;;Artrite reumatóide juvenil;M08.0 Artrite reumatoide juvenil
M081;;;;Espondilite ancilosante juvenil;M08.1 Espondilite ancilosante juvenil
M082;;;;Artrite juvenil com início sistêmico;M08.2 Artrite juvenil c/inicio sistemico
M083;;;;Poliartrite juvenil (soro-negativa);M08.3 Poliartrite juvenil
M084;;;;Artrite juvenil pauciarticular;M08.4 Artrite juvenil pauciarticular
M088;;;;Outras artrites juvenis;M08.8 Outr artrites juvenis
M089;;;;Artrite juvenil não especificada;M08.9 Artrite juvenil NE
M090;*;;;Artrite juvenil na psoríase;M09.0 Artrite juvenil na psoriase
M091;*;;;Artrite juvenil na doença de Chron [enterite regional];M09.1 Artrite juvenil na doenc de Chron
M092;*;;;Artrite juvenil na colite ulcerativa;M09.2 Artrite juvenil na colite ulcerativa
M098;*;;;Artrite juvenil em outras doenças classificadas em outra parte;M09.8 Artrite juvenil em outr doenc COP
M100;;;;Gota idiopática;M10.0 Gota idiopatica
M101;;;;Gota induzida por chumbo;M10.1 Gota induz p/chumbo
M102;;;;Gota induzida por drogas;M10.2 Gota induz p/drogas
M103;;;;Gota devida à disfunção renal;M10.3 Gota dev disfuncao renal
M104;;;;Outra gota secundária;M10.4 Outr gota secund
M109;;;;Gota, não especificada;M10.9 Gota NE
M110;;;;Doença por deposição de hidroxiapatita;M11.0 Doenc p/deposicao de hidroxiapatita
M111;;;;Condrocalcinose familiar;M11.1 Condrocalcinose familiar
M112;;;;Outras condrocalcinoses;M11.2 Outr condrocalcinoses
M118;;;;Outras artropatias especificadas por deposição de cristais;M11.8 Outr artropatias espec p/deposicao cristais
M119;;;;Artropatia por deposição de cristais, não especificada;M11.9 Artropatia p/deposicao de cristais NE
M120;;;;Artropatia pós-reumática crônica [Jaccoud];M12.0 Artropatia pos-reumatica cronica
M121;;;;Doença de Kashin-Beck;M12.1 Doenc de Kashin-Beck
M122;;;;Sinovite vilonodular (pigmentada);M12.2 Sinovite vilonodular
M123;;;;Reumatismo palindrômico;M12.3 Reumatismo palindromico
M124;;;;Hidrartrose intermitente;M12.4 Hidrartrose intermitente
M125;;;;Artropatia traumática;M12.5 Artropatia traum
M128;;;;Outras artropatias específicas não classificadas em outra parte;M12.8 Outr artropatias especificas NCOP
M130;;;;Poliartrite não especificada;M13.0 Poliartrite NE
M131;;;;Monoartrites não classificadas em outra parte;M13.1 Monoartrites NCOP
M138;;;;Outras artrites especificadas;M13.8 Outr artrites espec
M139;;;;Artrite não especificada;M13.9 Artrite NE
M140;*;;;Artropatia gotosa devida a defeitos enzimáticos e a outras doenças hereditárias;M14.0 Artropat gotosa dev def enzim out doen hered
M141;*;;;Artropatia por depósito de cristais em outras doenças metabólicas classificadas em outra parte;M14.1 Artropatia dep cristais outr doenc metab COP
M142;*;;;Artropatia diabética;M14.2 Artropatia diabetica
M143;*;;;Dermatoartrite lipóide;M14.3 Dermatoartrite lipoide
M144;*;;;Artropatia na amiloidose;M14.4 Artropatia na amiloidose
M145;*;;;Artropatias em outras doenças endócrinas, nutricionais e metabólicas;M14.5 Artropatias outr doenc endocr nutric metab
M146;*;;;Artropatia neuropática;M14.6 Artropatia neuropatica
M148;*;;;Artropatias em outras doenças especificadas classificadas em outra parte;M14.8 Artropatias em outr doenc espec COP
M150;;;;(Osteo)artrose primária generalizada;M15.0 Artrose prim generalizada
M151;;;;Nódulos de Heberden (com artropatia);M15.1 Nodulos de Heberden
M152;;;;Nódulos de Bouchard (com artropatia);M15.2 Nodulos de Bouchard
M153;;;;Artrose múltipla secundária;M15.3 Artrose mult secund
M154;;;;(Osteo)artrose erosiva;M15.4 Artrose erosiva
M158;;;;Outras poliartroses;M15.8 Outr poliartroses
M159;;;;Poliartrose não especificada;M15.9 Poliartrose NE
M160;;;;Coxartrose primária bilateral;M16.0 Coxartrose prim bilateral
M161;;;;Outras coxartroses primárias;M16.1 Outr coxartroses prim
M162;;;;Coxartrose bilateral resultante de displasia;M16.2 Coxartrose bilateral resultante de displasia
M163;;;;Outras coxartroses displásicas;M16.3 Outr coxartroses displasicas
M164;;;;Coxartrose bilateral pós-traumática;M16.4 Coxartrose bilateral pos-traum
M165;;;;Outras coxartroses pós-traumáticas;M16.5 Outr coxartroses pos-traum
M166;;;;Outras coxartroses secundárias bilaterais;M16.6 Outr coxartroses secund bilaterais
M167;;;;Outras coxartroses secundárias;M16.7 Outr coxartroses secund
M169;;;;Coxartrose não especificada;M16.9 Coxartrose NE
M170;;;;Gonartrose primária bilateral;M17.0 Gonartrose prim bilateral
M171;;;;Outras gonartroses primárias;M17.1 Outr gonartroses prim
M172;;;;Gonartrose pós-traumática bilateral;M17.2 Gonartrose pos-traum bilateral
M173;;;;Outras gonartroses pós-traumática;M17.3 Outr gonartroses pos-traum
M174;;;;Outras gonartroses secundárias bilaterais;M17.4 Outr gonartroses secund bilaterais
M175;;;;Outras gonartroses secundárias;M17.5 Outr gonartroses secund
M179;;;;Gonartrose não especificada;M17.9 Gonartrose NE
M180;;;;Artrose primária bilateral das primeiras articulações carpometacarpianas;M18.0 Artrose prim bilat prim artic carpometacarp
M181;;;;Outras artroses primárias da primeira articulação carpometacarpiana;M18.1 Outr artroses prim prim artic carpometacarp
M182;;;;Artrose pós-traumática bilateral da primeira articulação carpometacarpiana;M18.2 Artrose pos-traum bilat prim art carpometac
M183;;;;Outras artroses pós-traumáticas da primeira articulação carpometacarpiana;M18.3 Outr artroses pos-traum prim art carpometac
M184;;;;Outras cartroses secundárias bilaterais das primeiras articulações carpometacarpianas;M18.4 Outr cartroses sec bilat prim art carpometac
M185;;;;Outras artroses secundárias da primeira articulação carpometacarpiana;M18.5 Outr artroses sec prim artic carpometacarp
M189;;;;Artrose não especificada da primeira articulação carpometacarpiana;M18.9 Artrose NE prim artic carpometacarpiana
M190;;;;Artrose primária de outras articulações;M19.0 Artrose prim de outr articulacoes
M191;;;;Artrose pós-traumática de outras articulações;M19.1 Artrose pos-traum de outr articulacoes
M192;;;;Outras artroses secundárias;M19.2 Outr artroses secund
M198;;;;Outras artroses especificadas;M19.8 Outr artroses espec
M199;;;;Artrose não especificada;M19.9 Artrose NE
M200;;;N;Deformidade(s) do(s) dedo(s) das mãos;M20.0 Deform de dedos das maos
M201;;;N;Hallux valgo (adquirido);M20.1 Hallux valgo
M202;;;N;Hallux rigidus;M20.2 Hallux rigidus
M203;;;N;Outra deformidade do hallux (adquirida);M20.3 Outr deform do hallux
M204;;;N;Dedo(s) do pé em malho (adquirido);M20.4 Dedos do pe em malho
M205;;;N;Outras deformidades (adquiridas) do(s) dedo(s) dos pés;M20.5 Outr deform de dedos dos pes
M206;;;N;Deformidade adquirida não especificada de dedo(s) do pé;M20.6 Deform adquir NE de dedos do pe
M210;;;N;Deformidade em valgo não classificada em outra parte;M21.0 Deform em valgo NCOP
M211;;;N;Deformidade em varo não classificada em outra parte;M21.1 Deform em varo NCOP
M212;;;N;Deformidade em flexão;M21.2 Deform em flexao
M213;;;N;Mão (pulso) ou pé pendente (adquirido);M21.3 Mao ou pe pendente
M214;;;N;Pé chato [pé plano] (adquirido);M21.4 Pe chato
M215;;;N;Mão e pé em garra e mão e pé tortos adquiridos;M21.5 Mao e pe em garra e mao e pe tortos adquir
M216;;;N;Outras deformidades adquiridas do tornozelo e do pé;M21.6 Outr deform adquir do tornozelo e do pe
M217;;;N;Desigualdade (adquirida) do comprimento dos membros;M21.7 Desigualdade do comprimento dos membros
M218;;;N;Outras deformidades adquiridas especificadas dos membros;M21.8 Outr deform adquir espec dos membros
M219;;;N;Deformidade adquirida não especificada de membro;M21.9 Deform adquir NE de membro
M220;;;N;Deslocamento recidivante da rótula;M22.0 Deslocamento recidivante da rotula
M221;;;N;Subluxação recidivante da rótula;M22.1 Subluxacao recidivante da rotula
M222;;;N;Transtornos femuropatelares;M22.2 Transt femuropatelares
M223;;;N;Outros desarranjos da rótula;M22.3 Outr desarranjos da rotula
M224;;;N;Condromalácia da rótula;M22.4 Condromalacia da rotula
M228;;;N;Outros transtornos da rótula;M22.8 Outr transt da rotula
M229;;;N;Transtorno da rótula, não especificado;M22.9 Transt da rotula NE
M230;;;N;Menisco cístico;M23.0 Menisco cistico
M231;;;N;Menisco discóide (congênito);M23.1 Menisco discoide
M232;;;N;Transtorno do menisco devido à ruptura ou lesão antiga;M23.2 Transt menisco dev ruptura ou lesao antiga
M233;;;N;Outros transtornos do menisco;M23.3 Outr transt do menisco
M234;;;N;Corpo flutuante no joelho;M23.4 Corpo flutuante no joelho
M235;;;N;Instabilidade crônica do joelho;M23.5 Instabilidade cronica do joelho
M236;;;N;Outras rupturas espontâneas de ligamento(s) do joelho;M23.6 Outr rupturas espontaneas ligamentos joelho
M238;;;N;Outros transtornos internos do joelho;M23.8 Outr transt internos do joelho
M239;;;N;Transtorno interno não especificado do joelho;M23.9 Transt interno NE do joelho
M240;;;N;Corpo flutuante em articulação;M24.0 Corpo flutuante em articulacao
M241;;;N;Outros transtornos das cartilagens articulares;M24.1 Outr transt das cartilagens articulares
M242;;;N;Transtornos de ligamentos;M24.2 Transt de ligamentos
M243;;;N;Deslocamento e subluxação patológicas de articulação, não classificada em outra parte;M24.3 Deslocamento e subluxacao patolog artic NCOP
M244;;;N;Deslocamento e subluxação de articulação recidivantes;M24.4 Deslocamento e subluxacao artic recidivantes
M245;;;N;Contratura articular;M24.5 Contratura articular
M246;;;N;Ancilose articular;M24.6 Ancilose articular
M247;;;N;Protusão do acetábulo;M24.7 Protusao do acetabulo
M248;;;N;Outros transtornos articulares específicos, não classificados em outra parte;M24.8 Outr transt articulares especificos NCOP
M249;;;N;Desarranjo articular não especificado;M24.9 Desarranjo articular NE
M250;;;N;Hemartrose;M25.0 Hemartrose
M251;;;N;Fístula articular;M25.1 Fistula articular
M252;;;N;Flail joint;M25.2 Flail joint
M253;;;N;Outras instabilidades articulares;M25.3 Outr instabilidades articulares
M254;;;N;Derrame articular;M25.4 Derrame articular
M255;;;N;Dor articular;M25.5 Dor articular
M256;;;N;Rigidez articular não classificada em outra parte;M25.6 Rigidez articular NCOP
M257;;;N;Osteofito;M25.7 Osteofito
M258;;;N;Outros transtornos articulares especificados;M25.8 Outr transt articulares espec
M259;;;N;Transtorno articular não especificado;M25.9 Transt articular NE
M300;;;;Poliarterite nodosa;M30.0 Poliarterite nodosa
M301;;;;Poliarterite com comprometimento pulmonar [Churg-Strauss];M30.1 Poliarterite c/compr pulmonar
M302;;;;Poliarterite juvenil;M30.2 Poliarterite juvenil
M303;;;;Síndrome de linfonodos mucocutâneos [Kawasaki];M30.3 Sindr de linfonodos mucocutaneos
M308;;;;Outras afecções comuns na poliarterite nodosa;M30.8 Outr afeccoes comuns na poliarterite nodosa
M310;;;;Angeíte de hipersensibilidade;M31.0 Angeite de hipersensibilidade
M311;;;;Microangiopatia trombótica;M31.1 Microangiopatia trombotica
M312;;;;Granuloma da linha média letal;M31.2 Granuloma da linha media letal
M313;;;;Granulomatose de Wegener;M31.3 Granulomatose de Wegener
M314;;;;Síndrome do arco aórtico [Takayasu];M31.4 Sindr do arco aortico
M315;;;;Arterite de células gigantes com polimialgia reumática;M31.5 Arterite celulas gigantes polimialgia reumat
M316;;;;Outras arterites de células gigantes;M31.6 Outr arterites de celulas gigantes
M317;;;;Poliangeíte microscópica;M31.7 Poliangeíte microscópica
M318;;;;Outras vasculopatias necrotizantes especificadas;M31.8 Outr vasculopatias necrotizantes espec
M319;;;;Vasculopatia necrotizante não especificada;M31.9 Vasculopatia necrotizante NE
M320;;;;Lúpus eritematoso disseminado [sistêmico] induzido por drogas;M32.0 Lupus eritematoso disseminado induz p/drogas
M321;+;;;Lúpus eritematoso disseminado [sistêmico] com comprometimento de outros órgãos e sistemas;M32.1 Lupus eritematoso dissem compr outr org/sist
M328;;;;Outras formas de lúpus eritematoso disseminado [sistêmico];M32.8 Outr form de lupus eritematoso disseminado
M329;;;;Lúpus eritematoso disseminado [sistêmico] não especificado;M32.9 Lupus eritematoso disseminado NE
M330;;;;Dermatomiosite juvenil;M33.0 Dermatomiosite juvenil
M331;;;;Outras dermatomiosites;M33.1 Outr dermatomiosites
M332;;;;Polimiosite;M33.2 Polimiosite
M339;;;;Dermatopolimiosite não especificada;M33.9 Dermatopolimiosite NE
